"name","price_percentile","sugar_percentile"
"100 Grand",0.86000001,0.73199999
"3 Musketeers",0.51099998,0.60399997
"One dime",0.116,0.011
"One quarter",0.51099998,0.011
"Air Heads",0.51099998,0.90600002
"Almond Joy",0.76700002,0.465
"Baby Ruth",0.76700002,0.60399997
"Boston Baked Beans",0.51099998,0.31299999
"Candy Corn",0.32499999,0.90600002
"Caramel Apple Pops",0.32499999,0.60399997
"Charleston Chew",0.51099998,0.60399997
"Chewey Lemonhead Fruit Mix",0.51099998,0.73199999
"Chiclets",0.32499999,0.046
"Dots",0.51099998,0.73199999
"Dum Dums",0.034000002,0.73199999
"Fruit Chews",0.034000002,0.127
"Fun Dip",0.32499999,0.73199999
"Gobstopper",0.45300001,0.90600002
"Haribo Gold Bears",0.465,0.465
"Haribo Happy Cola",0.465,0.465
"Haribo Sour Bears",0.465,0.465
"Haribo Twin Snakes",0.465,0.465
"Hershey's Kisses",0.093000002,0.127
"Hershey's Krackel",0.91799998,0.43000001
"Hershey's Milk Chocolate",0.91799998,0.43000001
"Hershey's Special Dark",0.91799998,0.43000001
"Jawbusters",0.51099998,0.093000002
"Junior Mints",0.51099998,0.197
"Kit Kat",0.51099998,0.31299999
"Laffy Taffy",0.116,0.22
"Lemonhead",0.104,0.046
"Lifesavers big ring gummies",0.27900001,0.26699999
"Peanut butter M&M's",0.65100002,0.82499999
"M&M's",0.65100002,0.82499999
"Mike & Ike",0.32499999,0.87199998
"Milk Duds",0.51099998,0.30199999
"Milky Way",0.65100002,0.60399997
"Milky Way Midnight",0.44100001,0.73199999
"Milky Way Simply Caramel",0.86000001,0.96499997
"Mounds",0.86000001,0.31299999
"Mr Good Bar",0.91799998,0.31299999
"Nerds",0.32499999,0.84799999
"Nestle Butterfinger",0.76700002,0.60399997
"Nestle Crunch",0.76700002,0.31299999
"Nik L Nip",0.97600001,0.197
"Now & Later",0.32499999,0.22
"Payday",0.76700002,0.465
"Peanut M&Ms",0.65100002,0.59299999
"Pixie Sticks",0.023,0.093000002
"Pop Rocks",0.83700001,0.60399997
"Red vines",0.116,0.58099997
"Reese's Miniatures",0.27900001,0.034000002
"Reese's Peanut Butter cup",0.65100002,0.72000003
"Reese's pieces",0.65100002,0.40599999
"Reese's stuffed with pieces",0.65100002,0.98799998
"Ring pop",0.96499997,0.73199999
"Rolo",0.86000001,0.86000001
"Root Beer Barrels",0.068999998,0.73199999
"Runts",0.27900001,0.87199998
"Sixlets",0.081,0.22
"Skittles original",0.22,0.94099998
"Skittles wildberry",0.22,0.94099998
"Nestle Smarties",0.97600001,0.26699999
"Smarties candy",0.116,0.26699999
"Snickers",0.65100002,0.546
"Snickers Crisper",0.65100002,0.60399997
"Sour Patch Kids",0.116,0.068999998
"Sour Patch Tricksters",0.116,0.068999998
"Starburst",0.22,0.15099999
"Strawberry bon bons",0.057999998,0.56900001
"Sugar Babies",0.76700002,0.96499997
"Sugar Daddy",0.32499999,0.41800001
"Super Bubble",0.116,0.162
"Swedish Fish",0.755,0.60399997
"Tootsie Pop",0.32499999,0.60399997
"Tootsie Roll Juniors",0.51099998,0.31299999
"Tootsie Roll Midgies",0.011,0.17399999
"Tootsie Roll Snack Bars",0.32499999,0.465
"Trolli Sour Bites",0.255,0.31299999
"Twix",0.90600002,0.546
"Twizzlers",0.116,0.22
"Warheads",0.116,0.093000002
"Welch's Fruit Snacks",0.31299999,0.31299999
"Werther's Original Caramel",0.26699999,0.186
"Whoppers",0.84799999,0.87199998
